"HHID","hhsize","postcode","home_ID","homeX","homeY","DwellingType","dis_to_subway","dis_to_CBD","POI","dis_to_wetlands","aveIncome","area","tot_price","unit_price"
"120307AR7",1,120307,1732,103.7671013,1.321409579,"HDB 3-room",728.0320833,10503,30,4118.03505521,73784.3137255,68.04,865219.32,12716.3333333333
"120307BR8",5,120307,1732,103.7671013,1.321409579,"HDB 3-room",728.0320833,10503,30,4118.03505521,73784.3137255,68.04,865219.32,12716.3333333333
"120307CO",3,120307,1732,103.7671013,1.321409579,"HDB 3-room",728.0320833,10503,30,4118.03505521,73784.3137255,68.04,865219.32,12716.3333333333
"120307DR7",4,120307,1732,103.7671013,1.321409579,"HDB 3-room",728.0320833,10503,30,4118.03505521,73784.3137255,68.04,865219.32,12716.3333333333
"120309AR3",3,120309,477,103.7663784,1.320906354,"HDB 3-room",654.5771214,10556,26,4213.11325176,73784.3137255,68.04,865219.32,12716.3333333333
"120309BR1",2,120309,477,103.7663784,1.320906354,"HDB 3-room",654.5771214,10556,26,4213.11325176,73784.3137255,68.04,865219.32,12716.3333333333
"120309CR2",2,120309,477,103.7663784,1.320906354,"HDB 3-room",654.5771214,10556,26,4213.11325176,73784.3137255,68.04,865219.32,12716.3333333333
"120309DR3",2,120309,477,103.7663784,1.320906354,"HDB 3-room",654.5771214,10556,26,4213.11325176,73784.3137255,68.04,865219.32,12716.3333333333
"120316AO",4,120316,1048,103.7645213,1.318449853,"HDB 4-room",378.7057857,10651,31,4553.40214874,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120316BR8",2,120316,1048,103.7645213,1.318449853,"HDB 4-room",378.7057857,10651,31,4553.40214874,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120316DR8",3,120316,1048,103.7645213,1.318449853,"HDB 4-room",378.7057857,10651,31,4553.40214874,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120321AR4",2,120321,1731,103.7663292,1.316545157,"HDB 3-room",201.1486391,10390,40,4586.79040169,73784.3137255,68.04,865219.32,12716.3333333333
"120321BR5",4,120321,1731,103.7663292,1.316545157,"HDB 3-room",201.1486391,10390,40,4586.79040169,73784.3137255,68.04,865219.32,12716.3333333333
"120321CO",4,120321,1731,103.7663292,1.316545157,"HDB 3-room",201.1486391,10390,40,4586.79040169,73784.3137255,68.04,865219.32,12716.3333333333
"120321DR2",3,120321,1731,103.7663292,1.316545157,"HDB 3-room",201.1486391,10390,40,4586.79040169,73784.3137255,68.04,865219.32,12716.3333333333
"120323AR8",3,120323,311,103.7670963,1.315826652,"HDB 3-room",222.5779686,10283,46,4598.4753374,73784.3137255,68.04,865219.32,12716.3333333333
"120323BR6",3,120323,311,103.7670963,1.315826652,"HDB 3-room",222.5779686,10283,46,4598.4753374,73784.3137255,68.04,865219.32,12716.3333333333
"120323CR8",2,120323,311,103.7670963,1.315826652,"HDB 3-room",222.5779686,10283,46,4598.4753374,73784.3137255,68.04,865219.32,12716.3333333333
"120323DR4",4,120323,311,103.7670963,1.315826652,"HDB 3-room",222.5779686,10283,46,4598.4753374,73784.3137255,68.04,865219.32,12716.3333333333
"120326BR5",1,120326,1400,103.7663588,1.314426873,"HDB 4-room",145.9312637,10311,44,4771.80296631,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120331AR1",3,120331,1443,103.7679444,1.314151871,"HDB 4-room",319.6586741,10134,56,4694.98562559,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120331AR5",3,120331,1443,103.7679444,1.314151871,"HDB 3-room",319.6586741,10134,56,4694.98562559,73784.3137255,68.04,865219.32,12716.3333333333
"120331BR7",3,120331,1443,103.7679444,1.314151871,"HDB 3-room",319.6586741,10134,56,4694.98562559,73784.3137255,68.04,865219.32,12716.3333333333
"120331CR2",1,120331,1443,103.7679444,1.314151871,"HDB 3-room",319.6586741,10134,56,4694.98562559,73784.3137255,68.04,865219.32,12716.3333333333
"120331DR1",2,120331,1443,103.7679444,1.314151871,"HDB 3-room",319.6586741,10134,56,4694.98562559,73784.3137255,68.04,865219.32,12716.3333333333
"120333AR3",5,120333,1043,103.767488,1.315162279,"HDB 4-room",251.2617814,10218,48,4632.31173499,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120333BO",4,120333,1043,103.767488,1.315162279,"HDB 4-room",251.2617814,10218,48,4632.31173499,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120333CR8",4,120333,1043,103.767488,1.315162279,"HDB 4-room",251.2617814,10218,48,4632.31173499,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120333DR6",5,120333,1043,103.767488,1.315162279,"HDB 4-room",251.2617814,10218,48,4632.31173499,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120334AR8",1,120334,1348,103.7684348,1.315178541,"HDB 3-room",356.6513813,10119,48,4570.45295398,73784.3137255,68.04,865219.32,12716.3333333333
"120334CR2",2,120334,1348,103.7684348,1.315178541,"HDB 3-room",356.6513813,10119,48,4570.45295398,73784.3137255,68.04,865219.32,12716.3333333333
"120334CR8",2,120334,1348,103.7684348,1.315178541,"HDB 3-room",356.6513813,10119,48,4570.45295398,73784.3137255,68.04,865219.32,12716.3333333333
"120334DR8",2,120334,1348,103.7684348,1.315178541,"HDB 3-room",356.6513813,10119,48,4570.45295398,73784.3137255,68.04,865219.32,12716.3333333333
"120338AO",5,120338,1338,103.7695264,1.31630239,"HDB 5-room",496.1612514,10046,16,4399.36667761,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120338CR8",5,120338,1338,103.7695264,1.31630239,"HDB 5-room",496.1612514,10046,16,4399.36667761,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120344AO",3,120344,1734,103.7690883,1.318094316,"HDB 2-room",542.1033768,10162,33,4265.16064923,73784.3137255,45.11,573633.796666667,12716.3333333333
"120344BR2",5,120344,1734,103.7690883,1.318094316,"HDB 2-room",542.1033768,10162,33,4265.16064923,73784.3137255,45.11,573633.796666667,12716.3333333333
"120344CR4",1,120344,1734,103.7690883,1.318094316,"HDB 2-room",542.1033768,10162,33,4265.16064923,73784.3137255,45.11,573633.796666667,12716.3333333333
"120344DR7",5,120344,1734,103.7690883,1.318094316,"HDB 2-room",542.1033768,10162,33,4265.16064923,73784.3137255,45.11,573633.796666667,12716.3333333333
"120346AR3",1,120346,567,103.770026,1.317067838,"HDB 3-room",576.2718732,10024,16,4298.10711127,73784.3137255,68.04,865219.32,12716.3333333333
"120346BO",4,120346,567,103.770026,1.317067838,"HDB 3-room",576.2718732,10024,16,4298.10711127,73784.3137255,68.04,865219.32,12716.3333333333
"120346CR5",5,120346,567,103.770026,1.317067838,"HDB 3-room",576.2718732,10024,16,4298.10711127,73784.3137255,68.04,865219.32,12716.3333333333
"120346DR3",2,120346,567,103.770026,1.317067838,"HDB 3-room",576.2718732,10024,16,4298.10711127,73784.3137255,68.04,865219.32,12716.3333333333
"120350AR2",4,120350,1733,103.7701966,1.315614526,"HDB 4-room",555.5344776,9950,16,4421.87029553,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120350BR3",3,120350,1733,103.7701966,1.315614526,"HDB 4-room",555.5344776,9950,16,4421.87029553,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120350CO",6,120350,1733,103.7701966,1.315614526,"HDB 4-room",555.5344776,9950,16,4421.87029553,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120350DR2",2,120350,1733,103.7701966,1.315614526,"HDB 4-room",555.5344776,9950,16,4421.87029553,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120352AO",2,120352,1677,103.7713609,1.314272659,"HDB 3-room",688.2946083,9779,13,4480.75877743,73784.3137255,68.04,865219.32,12716.3333333333
"120352AR1",4,120352,1677,103.7713609,1.314272659,"HDB 4-room",688.2946083,9779,13,4480.75877743,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120352BR1",2,120352,1677,103.7713609,1.314272659,"HDB 3-room",688.2946083,9779,13,4480.75877743,73784.3137255,68.04,865219.32,12716.3333333333
"120352CR6",3,120352,1677,103.7713609,1.314272659,"HDB 3-room",688.2946083,9779,13,4480.75877743,73784.3137255,68.04,865219.32,12716.3333333333
"120352DR5",4,120352,1677,103.7713609,1.314272659,"HDB 3-room",688.2946083,9779,13,4480.75877743,73784.3137255,68.04,865219.32,12716.3333333333
"120356AR8",5,120356,1659,103.76983,1.313959813,"HDB 5-room",527.1187044,9928,29,4598.3463563,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120356BR8",4,120356,1659,103.76983,1.313959813,"HDB 5-room",527.1187044,9928,29,4598.3463563,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120356CO",4,120356,1659,103.76983,1.313959813,"HDB 5-room",527.1187044,9928,29,4598.3463563,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120356DR1",6,120356,1659,103.76983,1.313959813,"HDB 5-room",527.1187044,9928,29,4598.3463563,73784.3137255,117.53,1494550.65666667,12716.3333333333
"120359AR5",1,120359,1776,103.7698536,1.313497807,"HDB 4-room",544.0988398,9910,27,4640.4282354,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120363AR8",2,120363,940,103.7689218,1.31281365,"HDB 3-room",482.323386,9984,38,4759.38668019,73784.3137255,68.04,865219.32,12716.3333333333
"120363BR1",2,120363,940,103.7689218,1.31281365,"HDB 3-room",482.323386,9984,38,4759.38668019,73784.3137255,68.04,865219.32,12716.3333333333
"120363CR2",4,120363,940,103.7689218,1.31281365,"HDB 3-room",482.323386,9984,38,4759.38668019,73784.3137255,68.04,865219.32,12716.3333333333
"120363DR4",3,120363,940,103.7689218,1.31281365,"HDB 3-room",482.323386,9984,38,4759.38668019,73784.3137255,68.04,865219.32,12716.3333333333
"120365AR8",4,120365,1385,103.7699492,1.312300051,"HDB 3-room",609.5768309,9858,27,4748.40546025,73784.3137255,68.04,865219.32,12716.3333333333
"120365BR2",1,120365,1385,103.7699492,1.312300051,"HDB 3-room",609.5768309,9858,27,4748.40546025,73784.3137255,68.04,865219.32,12716.3333333333
"120365CR7",2,120365,1385,103.7699492,1.312300051,"HDB 3-room",609.5768309,9858,27,4748.40546025,73784.3137255,68.04,865219.32,12716.3333333333
"120365DR5",2,120365,1385,103.7699492,1.312300051,"HDB 3-room",609.5768309,9858,27,4748.40546025,73784.3137255,68.04,865219.32,12716.3333333333
"120367AR2",3,120367,1696,103.7716527,1.312950274,"HDB 3-room",753.1705142,9700,21,4591.80350743,73784.3137255,68.04,865219.32,12716.3333333333
"120367AR5",3,120367,1696,103.7716527,1.312950274,"HDB 1-room",753.1705142,9700,21,4591.80350743,73784.3137255,30,381490,12716.3333333333
"120367BR2",1,120367,1696,103.7716527,1.312950274,"HDB 1-room",753.1705142,9700,21,4591.80350743,73784.3137255,30,381490,12716.3333333333
"120367CR4",4,120367,1696,103.7716527,1.312950274,"HDB 1-room",753.1705142,9700,21,4591.80350743,73784.3137255,30,381490,12716.3333333333
"120371AR3",2,120371,1623,103.768199,1.320572965,"HDB 3-room",689.4103765,10355,31,4109.01569711,73784.3137255,68.04,865219.32,12716.3333333333
"120371BO",4,120371,1623,103.768199,1.320572965,"HDB 3-room",689.4103765,10355,31,4109.01569711,73784.3137255,68.04,865219.32,12716.3333333333
"120371CR2",2,120371,1623,103.768199,1.320572965,"HDB 3-room",689.4103765,10355,31,4109.01569711,73784.3137255,68.04,865219.32,12716.3333333333
"120371DR5",4,120371,1623,103.768199,1.320572965,"HDB 3-room",689.4103765,10355,31,4109.01569711,73784.3137255,68.04,865219.32,12716.3333333333
"120373AR2",4,120373,563,103.7673341,1.319484083,"HDB 4-room",538.2823585,10399,33,4263.15007203,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120373CR2",4,120373,563,103.7673341,1.319484083,"HDB 4-room",538.2823585,10399,33,4263.15007203,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120373CR6",3,120373,563,103.7673341,1.319484083,"HDB 4-room",538.2823585,10399,33,4263.15007203,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120373DR8",2,120373,563,103.7673341,1.319484083,"HDB 4-room",538.2823585,10399,33,4263.15007203,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120376AR8",4,120376,253,103.7666975,1.318101509,"HDB 3-room",369.8135436,10411,32,4426.44496842,73784.3137255,68.04,865219.32,12716.3333333333
"120376BR1",3,120376,253,103.7666975,1.318101509,"HDB 3-room",369.8135436,10411,32,4426.44496842,73784.3137255,68.04,865219.32,12716.3333333333
"120376CR6",2,120376,253,103.7666975,1.318101509,"HDB 3-room",369.8135436,10411,32,4426.44496842,73784.3137255,68.04,865219.32,12716.3333333333
"120376DR5",3,120376,253,103.7666975,1.318101509,"HDB 3-room",369.8135436,10411,32,4426.44496842,73784.3137255,68.04,865219.32,12716.3333333333
"120411AR1",5,120411,533,103.7695724,1.310868641,"HDB 4-room",672.5850195,9851,27,4906.20461931,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120411BR3",3,120411,533,103.7695724,1.310868641,"HDB 4-room",672.5850195,9851,27,4906.20461931,73784.3137255,94.93,1207161.52333333,12716.3333333333
"120411CR4",4,120411,533,103.7695724,1.310868641,"HDB 4-room",672.5850195,9851,27,4906.20461931,73784.3137255,94.93,1207161.52333333,12716.3333333333
