HHID,Home_pcode,home_ID,homeX,homeY,DwellingType,dis_to_subway,dis_to_CBD,POI,dis_to_wetlands,aveIncome,area,tot_price,unit_price,HP_ID,Ethnic,hhsize,Age,Citizen,Gender,Employ,Occup,Industry,Income_cat,income,Work_pcode,work_ID,commute_dis
600324CR7,600324,4627,103.7298689,1.348677358,HDB 5-room,755.490983,15531,22,5802.38967784,58646.4208243,117.53,660557.776666667,5620.33333333333,600324CR7_2,Chinese,3,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Associate professional & technician,"Community, Social and Personal Services (e.g. public adminis",$2500-$2999,2750.0,119074.0,4627,11.186399999999999
600324DR1,600324,4628,103.7298689,1.348677358,HDB 5-room,755.490983,15531,22,5802.38967784,58646.4208243,117.53,660557.776666667,5620.33333333333,600324DR1_1,Chinese,5,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$4000-$4999,4500.0,349555.0,4628,20.5197
600329AR1,600329,4629,103.7299399,1.350143654,HDB 3-room,904.1971443,15598,19,5755.17949244,58646.4208243,68.04,382407.48,5620.33333333333,600329AR1_1,Indian,3,35-54 yrs,Permanent Resident,Male,Employed Full-time,Professional,Manufacturing,$2000-$2499,2250.0,639594.0,4629,14.1343
600329BO,600329,4630,103.7299399,1.350143654,HDB 3-room,904.1971443,15598,19,5755.17949244,58646.4208243,68.04,382407.48,5620.33333333333,600329BO_2,Chinese,2,15-34 yrs,Work Permit,Female,Employed Full-time,Service & sales worker,Wholesale and Retail Trade,$1-$1000,500.0,648886.0,4630,4.2329
600329CO,600329,4631,103.7299399,1.350143654,HDB 3-room,904.1971443,15598,19,5755.17949244,58646.4208243,68.04,382407.48,5620.33333333333,600329CO_1,Chinese,3,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Manufacturing,$5000-$5999,5500.0,638501.0,4631,12.6767
600329DO,600329,4632,103.7299399,1.350143654,HDB 3-room,904.1971443,15598,19,5755.17949244,58646.4208243,68.04,382407.48,5620.33333333333,600329DO_1,Others,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,"Legislator,senior official & manager","Professional Services (e.g. legal, accounting, engineering,",$5000-$5999,5500.0,638410.0,4632,13.971
600331BO,600331,4633,103.7304272,1.350839634,HDB 4-room,962.7214384,15586,16,5684.58193262,58646.4208243,94.93,533538.243333333,5620.33333333333,600331BO_3,Indian,3,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$2500-$2999,2750.0,129957.0,4633,8.34
600331CO,600331,4634,103.7304272,1.350839634,HDB 4-room,962.7214384,15586,16,5684.58193262,58646.4208243,94.93,533538.243333333,5620.33333333333,600331CO_1,Chinese,5,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Associate professional & technician,Manufacturing,Refused,4500.0,508838.0,4634,33.475199999999994
600331DO,600331,4635,103.7304272,1.350839634,HDB 4-room,962.7214384,15586,16,5684.58193262,58646.4208243,94.93,533538.243333333,5620.33333333333,600331DO_3,Chinese,4,55-74 yrs,Singapore Citizen,Female,Employed Full-time,Clerical worker,Manufacturing,$1500-$1999,1750.0,128422.0,4635,6.0518
600332AO,600332,4636,103.7302038,1.351583647,HDB 4-room,1048.580313,15646,16,5689.69036478,58646.4208243,94.93,533538.243333333,5620.33333333333,600332AO_4,Chinese,6,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Financial Services (e.g. financial, insurance)",$3000-$3999,3500.0,609930.0,4636,4.026
600332BR8,600332,4637,103.7302038,1.351583647,HDB 4-room,1048.580313,15646,16,5689.69036478,58646.4208243,94.93,533538.243333333,5620.33333333333,600332BR8_3,Chinese,4,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,486035.0,4637,31.6891
600332CR8,600332,4638,103.7302038,1.351583647,HDB 4-room,1048.580313,15646,16,5689.69036478,58646.4208243,94.93,533538.243333333,5620.33333333333,600332CR8_1,Others,6,35-54 yrs,Permanent Resident,Male,Employed Full-time,Professional,"Professional Services (e.g. legal, accounting, engineering,",$3000-$3999,3500.0,609274.0,4638,8.3249
600336BO,600336,4639,103.7312865,1.350561072,HDB 5-room,913.4369506,15487,17,5598.69973318,58646.4208243,117.53,660557.776666667,5620.33333333333,600336BO_1,Chinese,4,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,"Community, Social and Personal Services (e.g. public adminis",$4000-$4999,4500.0,278790.0,4639,8.975700000000002
600336CO,600336,4640,103.7312865,1.350561072,HDB 5-room,913.4369506,15487,17,5598.69973318,58646.4208243,117.53,660557.776666667,5620.33333333333,600336CO_3,Indian,3,15-34 yrs,Singapore Citizen,Male,Employed Full-time,Clerical worker,"Administrative and Support Services (e.g. security, cleaning",$1500-$1999,1750.0,218026.0,4640,16.938299999999998
600336DO,600336,4641,103.7312865,1.350561072,HDB 5-room,913.4369506,15487,17,5598.69973318,58646.4208243,117.53,660557.776666667,5620.33333333333,600336DO_1,Indian,2,15-34 yrs,Employemnt pass,Male,Employed Full-time,Professional,Manufacturing,$6000-$6999,6500.0,628128.0,4641,8.14
600339AR5,600339,4642,103.7315245,1.349529208,HDB 3-room,796.6757368,15411,21,5600.29667345,58646.4208243,68.04,382407.48,5620.33333333333,600339AR5_3,Chinese,3,15-34 yrs,Singapore Citizen,Female,Employed Full-time,Service & sales worker,Manufacturing,$2500-$2999,2750.0,159551.0,4642,15.3002
600339BO,600339,4643,103.7315245,1.349529208,HDB 3-room,796.6757368,15411,21,5600.29667345,58646.4208243,68.04,382407.48,5620.33333333333,600339BO_1,Others,3,35-54 yrs,Singapore Citizen,Male,Employed Full-time,Professional,Manufacturing,$3000-$3999,3500.0,618299.0,4643,5.7406999999999995
